Ticker,Volatility,VaR (95%),Max Drawdown,Beta vs SPY,Risk Level,Latest Close,Sector,Company,Sub-Industry
GOOGL,0.2902,-0.0303,-0.2214,1.249,High Risk,165.06,Communication Services,Alphabet Inc. (Class A),Interactive Media & Services
GOOG,0.2864,-0.0293,-0.2228,1.2574,High Risk,167.14,Communication Services,Alphabet Inc. (Class C),Interactive Media & Services
T,0.2116,-0.0181,-0.0857,-0.0699,Low Risk,27.65,Communication Services,AT&T,Integrated Telecommunication Services
CHTR,0.3663,-0.0293,-0.1792,0.6851,Low Risk,384.77,Communication Services,Charter Communications,Cable & Satellite
CMCSA,0.2634,-0.0215,-0.2585,0.4989,Moderate Risk,37.37,Communication Services,Comcast,Cable & Satellite
EA,0.267,-0.0179,-0.3054,0.4054,Moderate Risk,145.19,Communication Services,Electronic Arts,Interactive Home Entertainment
FOXA,0.2034,-0.0164,-0.1158,0.4198,Low Risk,55.21,Communication Services,Fox Corporation (Class A),Broadcasting
FOX,0.1968,-0.016,-0.1266,0.428,Low Risk,51.16,Communication Services,Fox Corporation (Class B),Broadcasting
IPG,0.2252,-0.0234,-0.1781,0.5804,Low Risk,26.49,Communication Services,Interpublic Group of Companies (The),Advertising
LYV,0.2839,-0.026,-0.2513,1.1333,Moderate Risk,126.75,Communication Services,Live Nation Entertainment,Movies & Entertainment
MTCH,0.3895,-0.0323,-0.2166,0.9189,High Risk,31.83,Communication Services,Match Group,Interactive Media & Services
META,0.3151,-0.0318,-0.2088,1.3185,High Risk,610.98,Communication Services,Meta Platforms,Interactive Media & Services
NFLX,0.3156,-0.0257,-0.1813,1.2727,Moderate Risk,970.65,Communication Services,Netflix,Movies & Entertainment
NWSA,0.2009,-0.0179,-0.1345,0.8307,Low Risk,27.47,Communication Services,News Corp (Class A),Publishing
NWS,0.2065,-0.0182,-0.1372,0.839,Low Risk,30.77,Communication Services,News Corp (Class B),Publishing
OMC,0.2384,-0.0241,-0.2347,0.6668,Moderate Risk,81.14,Communication Services,Omnicom Group,Advertising
PARA,0.4643,-0.0435,-0.3032,0.481,High Risk,11.86,Communication Services,Paramount Global,Movies & Entertainment
TMUS,0.213,-0.0185,-0.1443,0.2714,Low Risk,262.51,Communication Services,T-Mobile US,Wireless Telecommunication Services
TTWO,0.2682,-0.0236,-0.1897,0.6719,Low Risk,215.89,Communication Services,Take-Two Interactive,Interactive Home Entertainment
TKO,0.2796,-0.0215,-0.2074,0.6548,Moderate Risk,154.61,Communication Services,TKO Group Holdings,Movies & Entertainment
VZ,0.2155,-0.0198,-0.1356,-0.1073,Low Risk,44.18,Communication Services,Verizon,Integrated Telecommunication Services
DIS,0.2359,-0.0238,-0.2998,0.6044,Moderate Risk,100.78,Communication Services,Walt Disney Company (The),Movies & Entertainment
WBD,0.4896,-0.0441,-0.2418,1.0221,High Risk,11.03,Communication Services,Warner Bros. Discovery,Broadcasting
ABNB,0.3684,-0.0341,-0.3209,1.255,High Risk,128.64,Consumer Discretionary,Airbnb,"Hotels, Resorts & Cruise Lines"
AMZN,0.283,-0.0275,-0.2034,1.4578,High Risk,201.13,Consumer Discretionary,Amazon,Broadline Retail
APTV,0.3707,-0.0339,-0.3844,1.0184,High Risk,65.8,Consumer Discretionary,Aptiv,Automotive Parts & Equipment
AZO,0.1961,-0.018,-0.1421,0.325,Low Risk,3681.68,Consumer Discretionary,AutoZone,Automotive Retail
BBY,0.3565,-0.0298,-0.3122,0.7063,Moderate Risk,74.83,Consumer Discretionary,Best Buy,Computer & Electronics Retail
BKNG,0.2617,-0.0269,-0.1975,1.0931,Low Risk,4764.16,Consumer Discretionary,Booking Holdings,"Hotels, Resorts & Cruise Lines"
CZR,0.4416,-0.0496,-0.4154,1.7749,High Risk,27.6,Consumer Discretionary,Caesars Entertainment,Casinos & Gaming
KMX,0.319,-0.0335,-0.2284,1.0391,High Risk,75.07,Consumer Discretionary,CarMax,Automotive Retail
CCL,0.4344,-0.0472,-0.3303,1.6914,High Risk,20.93,Consumer Discretionary,Carnival,"Hotels, Resorts & Cruise Lines"
CMG,0.3101,-0.0344,-0.3029,0.8428,High Risk,50.07,Consumer Discretionary,Chipotle Mexican Grill,Restaurants
DRI,0.2907,-0.0211,-0.1592,0.6795,Low Risk,207.45,Consumer Discretionary,Darden Restaurants,Restaurants
DECK,0.4388,-0.0405,-0.4832,1.5836,High Risk,118.16,Consumer Discretionary,Deckers Brands,Footwear
DPZ,0.304,-0.0255,-0.2438,0.7869,Moderate Risk,466.84,Consumer Discretionary,Domino's,Restaurants
DASH,0.3384,-0.0282,-0.2885,1.1178,Moderate Risk,192.87,Consumer Discretionary,DoorDash,Interactive Media & Services
DHI,0.3327,-0.0313,-0.3608,0.6577,High Risk,129.38,Consumer Discretionary,D. R. Horton,Homebuilding
EBAY,0.2773,-0.0259,-0.1438,0.6585,Low Risk,65.58,Consumer Discretionary,eBay Inc.,Broadline Retail
EXPE,0.3907,-0.0315,-0.2377,1.112,High Risk,173.43,Consumer Discretionary,Expedia Group,"Hotels, Resorts & Cruise Lines"
F,0.3574,-0.0321,-0.3484,1.0066,High Risk,10.3,Consumer Discretionary,Ford Motor Company,Automobile Manufacturers
GRMN,0.3624,-0.0206,-0.1459,0.7973,Low Risk,216.83,Consumer Discretionary,Garmin,Consumer Electronics
GM,0.3471,-0.0332,-0.2471,1.0576,High Risk,50.95,Consumer Discretionary,General Motors,Automobile Manufacturers
GPC,0.3278,-0.0253,-0.2978,0.4859,Moderate Risk,118.46,Consumer Discretionary,Genuine Parts Company,Distributors
HAS,0.3055,-0.0266,-0.2275,0.4433,Moderate Risk,61.49,Consumer Discretionary,Hasbro,Leisure Products
HLT,0.214,-0.0232,-0.1885,0.9617,Low Risk,234.86,Consumer Discretionary,Hilton Worldwide,"Hotels, Resorts & Cruise Lines"
HD,0.2174,-0.0216,-0.1899,0.7373,Low Risk,362.13,Consumer Discretionary,Home Depot (The),Home Improvement Retail
LVS,0.3203,-0.0291,-0.2954,0.6745,Moderate Risk,40.31,Consumer Discretionary,Las Vegas Sands,Casinos & Gaming
LEN,0.3139,-0.0356,-0.3775,0.6785,High Risk,117.87,Consumer Discretionary,Lennar,Homebuilding
LKQ,0.2972,-0.023,-0.3108,0.4681,Moderate Risk,40.99,Consumer Discretionary,LKQ Corporation,Distributors
LOW,0.2239,-0.0224,-0.2094,0.6904,Moderate Risk,232.05,Consumer Discretionary,Lowe's,Home Improvement Retail
LULU,0.3755,-0.0332,-0.4025,1.0293,High Risk,337.79,Consumer Discretionary,Lululemon Athletica,"Apparel, Accessories & Luxury Goods"
MAR,0.2333,-0.029,-0.2189,1.0152,Moderate Risk,246.72,Consumer Discretionary,Marriott International,"Hotels, Resorts & Cruise Lines"
MCD,0.1878,-0.0175,-0.1227,0.258,Low Risk,313.58,Consumer Discretionary,McDonald's,Restaurants
MGM,0.3843,-0.0354,-0.3688,1.4425,High Risk,32.12,Consumer Discretionary,MGM Resorts,Casinos & Gaming
MHK,0.3961,-0.0329,-0.3183,1.0484,High Risk,116.86,Consumer Discretionary,Mohawk Industries,Home Furnishings
NKE,0.3355,-0.028,-0.3136,0.5224,Moderate Risk,65.74,Consumer Discretionary,"Nike, Inc.","Apparel, Accessories & Luxury Goods"
NCLH,0.4785,-0.0508,-0.3626,1.7382,High Risk,20.22,Consumer Discretionary,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines"
NVR,0.2364,-0.0231,-0.2884,0.5878,Moderate Risk,7314.92,Consumer Discretionary,"NVR, Inc.",Homebuilding
ORLY,0.1923,-0.0164,-0.161,0.3728,Low Risk,1380.98,Consumer Discretionary,O’Reilly Automotive,Automotive Retail
POOL,0.2987,-0.0287,-0.2834,0.6987,Moderate Risk,326.93,Consumer Discretionary,Pool Corporation,Distributors
PHM,0.3192,-0.0318,-0.3204,0.8694,High Risk,105.22,Consumer Discretionary,PulteGroup,Homebuilding
RL,0.3221,-0.0317,-0.2443,1.2529,High Risk,228.77,Consumer Discretionary,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods"
ROST,0.2296,-0.0234,-0.2108,0.7589,Moderate Risk,127.7,Consumer Discretionary,Ross Stores,Apparel Retail
RCL,0.3837,-0.0385,-0.2573,1.6216,High Risk,219.86,Consumer Discretionary,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines"
SBUX,0.3921,-0.0256,-0.2079,0.7041,Moderate Risk,97.97,Consumer Discretionary,Starbucks,Restaurants
